Date(UTC),UnixTimeStamp,Supply,MarketCap,Price
8/29/2018,1535500800,101635861.34375,29339.22409410031,288.67
8/30/2018,1535587200,101656354.625,28885.65316669375,284.15
8/31/2018,1535673600,101676780.6875,28638.28204844125,281.66
9/1/2018,1535760000,101697166.625,30037.27513436,295.36
9/2/2018,1535846400,101717669.1875,30008.74676369625,295.02
9/3/2018,1535932800,101737994.09375,29399.22815327094,288.97
9/4/2018,1536019200,101758539.5,29024.588221585,285.23
9/5/2018,1536105600,101778867.875,23233.06216982625,228.27
9/6/2018,1536192000,101799435.875,23365.00652203,229.52
9/7/2018,1536278400,101819656.4375,21905.48088596375,215.14
9/8/2018,1536364800,101839941.6875,20039.045325849373,196.77
9/9/2018,1536451200,101860208.5625,19963.582276164372,195.99
9/10/2018,1536537600,101880645.3125,20084.75041690625,197.14
9/11/2018,1536624000,101900890.4375,18866.949864503124,185.15
9/12/2018,1536710400,101921293.625,18654.65437218375,183.03
9/13/2018,1536796800,101941716.40625,21537.22642514844,211.27
9/14/2018,1536883200,101962148.375,21296.83393108625,208.87
9/15/2018,1536969600,101982585.40625,22602.400403587188,221.63
9/16/2018,1537056000,102003094.53125,22452.92116821875,220.12
9/17/2018,1537142400,102023574.96875,20000.70163687375,196.04
9/18/2018,1537228800,102043752.5,21264.897583475,208.39
9/19/2018,1537315200,102064301.375,21411.0491424475,209.78
9/20/2018,1537401600,102084725.65625,22944.56293849875,224.76
9/21/2018,1537488000,102105445.0625,25290.497687530624,247.69
9/22/2018,1537574400,102125766.59375,24589.842080443126,240.78
9/23/2018,1537660800,102146091.125,24979.82658461875,244.55
9/24/2018,1537747200,102166431.125,23285.77298201,227.92
9/25/2018,1537833600,102186851.375,22399.3578214,219.20
9/26/2018,1537920000,102207454.53125,21893.858835139064,214.21
9/27/2018,1538006400,102227966.65625,23419.404881280312,229.09
9/28/2018,1538092800,102248381.65625,22654.15143975875,221.56
9/29/2018,1538179200,102268621.34375,23656.77748923625,231.32
9/30/2018,1538265600,102289132.4375,23792.4522049625,232.60
10/1/2018,1538352000,102309434.84375,23622.225411073443,230.89
10/2/2018,1538438400,102329949.03125,23066.193811134064,225.41
10/3/2018,1538524800,102350244.5,22513.983282665,219.97
10/4/2018,1538611200,102370614.125,22701.70738836,221.76
10/5/2018,1538697600,102390791.1875,23334.86131163125,227.90
